Sample,genome,Read Count,Mean,covered_fraction,Length
3000m1000m,A3000m50m.97,4695,0.046826903,0.008340715,3496103
3000m1000m,A3000m150m.147,1048,0.031505052,0.00926497,1582304
3000m1000m,R3500m2000m.44,143295,13.205495,0.9748486,1484771
3000m1000m,A4500m150m.173,2091,0.107751414,0.018551014,1627566
3000m1000m,A4500m500m.236,19001,0.36819142,0.17777629,6360398
3000m1000m,A3500m150m.273,2391,0.17570886,0.017865779,1279821
3000m1000m,A4500m150m.282,749,0.018994724,0.008276041,2979444
3000m1000m,A4500m500m.181,13960,0.8329315,0.36297768,2244003
3000m1000m,R3000m3000m.132,1023540,161.39337,0.9985506,846553
3000m1000m,A500m150m.13,412492,35.117638,0.95163924,1621067
3000m1000m,A4500m50m.9,1866,0.058422044,0.026955131,2101418
3000m1000m,A4500m4000m.49,3000,0.115762986,0.04142168,1901999
3000m1000m,A500m50m.57,1123,0.061420213,0.013677443,900680
3000m1000m,A3500m500m.126,144302,9.618973,0.9479921,2104238
3000m1000m,R4500m4000m.267,317264,16.021015,0.9819126,2789625
3000m1000m,A4500m3000m.233,214536,3.7803595,0.86336684,7656729
3000m1000m,A3000m500m.285,5369,0.23952325,0.054952167,1622047
3000m1000m,A4500m4000m.276,1005192,182.49657,0.9949661,753689
3000m1000m,A4500m3000m.160,485867,30.674496,0.9450027,2206798
3000m1000m,A4500m2000m.172,152722,7.2462897,0.94398606,2767900
3000m1000m,A500m150m.230,166134,7.682485,0.4992909,2811411
3000m1000m,A4500m1000m.213,143528,10.708487,0.9798241,1913228
3000m1000m,A3000m1000m.141,111032,6.523819,0.9937892,2468607
3000m1000m,A4500m3000m.143,90914,2.957751,0.8089151,4273650
3000m1000m,A4500m150m.202,167696,5.511093,0.6507738,3767129
3000m1000m,A3500m50m.86,662,0.018213237,0.008234403,1779364
3000m1000m,A3000m1000m.41,484870,12.047462,0.9985361,5682827
3000m1000m,A4500m4000m.45,18731,0.41709882,0.07269624,4705484
3000m1000m,A4500m50m.246,571,0.020479629,0.003566428,1375606
3000m1000m,R3000m150m.313,930,0.06707915,0.031192318,1451896
3000m1000m,A3500m50m.128,467,0.010329248,0.0047232998,2835941
3000m1000m,A3000m2000m.243,80081,9.940755,0.8460318,831704
3000m1000m,R4500m4000m.155,27311,2.0389745,0.7371067,1864475
3000m1000m,A3000m2000m.130,203422,10.678817,0.9477698,2522240
3000m1000m,A3000m150m.124,910,0.033606518,0.003970489,1399072
3000m1000m,A500m50m.111,62431,8.536679,0.45603368,1002483
3000m1000m,A4500m2000m.215,40736,2.104365,0.5440136,2731551
3000m1000m,R3500m500m.39,1219870,76.68815,0.99901104,2244832
3000m1000m,A4000m500m.162,189174,14.551548,0.97995454,1821163
3000m1000m,R4500m4000m.174,1383,0.038781583,0.017262192,2518336
3000m1000m,A4500m3000m.148,17808,0.6878065,0.32400808,3272227
3000m1000m,A500m150m.82,1729,0.068755075,0.012974109,1031593
3000m1000m,A500m50m.254,1791,0.097183265,0.05378962,2219536
3000m1000m,A3500m150m.199,1194,0.05793666,0.014398746,1379634
3000m1000m,A4500m4000m.303,3479,0.14072981,0.05726482,2370967
3000m1000m,A4500m3000m.171,7391,0.39166516,0.14131382,1282854
3000m1000m,A4500m3000m.246,19060,0.5652238,0.30590662,4458949
3000m1000m,A4500m4000m.245,513871,85.81521,0.9700799,825532
3000m1000m,A4000m50m.30,755,0.02465757,0.011750703,1651731
3000m1000m,A500m50m.233,216,0.0105495965,0.0061204033,1564276
3000m1000m,A4000m500m.102,797679,46.89789,0.9803671,2466982
3000m1000m,A4500m4000m.272,21732,0.38118276,0.16055542,6018551
3000m1000m,R500m150m.5,18127,0.7598387,0.05873483,2237565
3000m1000m,A3500m150m.287,140927,4.5822783,0.737168,4385707
3000m1000m,A4500m2000m.260,16985,1.2369733,0.53094053,1938524
3000m1000m,A3500m150m.331,45457,1.8010308,0.30934116,2924328
3000m1000m,R500m150m.124,177291,19.520288,0.9575854,1289673
3000m1000m,R3000m150m.25,25123,0.8432992,0.3636023,2756055
3000m1000m,A4000m150m.227,1983,0.114424184,0.019410491,1533346
3000m1000m,A3500m50m.289,1282,0.038010966,0.015299771,2013102
3000m1000m,R3500m1000m.2,169980,6.1328588,0.9681186,3905352
3000m1000m,R4500m4000m.77,2866,0.07597442,0.03734733,3580336
3000m1000m,A3000m2000m.200,13417,1.6501969,0.41451785,924807
3000m1000m,A4500m150m.359,15277,0.18585229,0.026833203,1512790
3000m1000m,A500m50m.265,2011,0.10614232,0.017399654,1417442
3000m1000m,A4500m2000m.132,660308,38.019108,0.99614006,2476225
3000m1000m,A500m50m.60,838,0.037084866,0.019321905,1587214
3000m1000m,A4500m2000m.34,1553179,172.26526,0.99451137,1319639
3000m1000m,A3000m50m.217,286,0.004742747,0.002101651,2433325
3000m1000m,A4000m1000m.15,332501,20.577135,0.99646723,2232230
3000m1000m,A4500m4000m.150,28084,3.9892528,0.6496919,946227
3000m1000m,A3500m500m.183,408361,27.560902,0.9526394,2106478
3000m1000m,R500m500m.91,3638,0.36760962,0.2235584,1314614
3000m1000m,A3000m3000m.277,31525,4.357934,0.6247262,1005575
3000m1000m,A3000m2000m.106,38438,2.7639532,0.798812,1926596
3000m1000m,A3000m150m.140,9822,0.72976154,0.19478782,1801088
