scaffold,reconciled_taxonomy
OC1703_3000m_2000m_sens_contig_4414315,Candidatus Thermoplasmatota
OC1703_3000m_500m_sens_contig_1352765,Candidatus Thermoplasmatota
OC1703_4500m_500m_sens_contig_4340026,Candidatus Thermoplasmatota
OC1703_3000m_2000m_sens_contig_2115048,Candidatus Thermoplasmatota
OC1703_3000m_3000m_sens_contig_923234,Candidatus Thermoplasmatota
OC1703_3500m_2000m_sens_contig_416224,Candidatus Thermoplasmatota
OC1703_4500m_3000m_sens_contig_2304211,Candidatus Thermoplasmatota
OC1703_4000m_2000m_sens_contig_3602110,Candidatus Thermoplasmatota
OC1703_4500m_2000m_sens_contig_4084227,Candidatus Thermoplasmatota
OC1703_4500m_150m_sens_contig_5035319,Candidatus Thermoplasmatota
OC1703_4000m_150m_sens_contig_2694677,Candidatus Thermoplasmatota
OC1703_500m_150m_sens_contig_2986940,Candidatus Thermoplasmatota
